Item_number,Description,"Total_650K
"
009201-402-00620,Assy LRJ HS 20ø Left,0
009201-401-00001,"Assy Drive train Poly-Veyor 1,5-3m/s (SEW 400-460V 50-60Hz)",0
015593-071-01200,Assy finger protection,1
009201-355-00001,Assy Drive train Poly-Veyor 2-4m/s (SEW 400V 50Hz),0
009201-349-00022,Weldment LMS Support,0
009201-332-00001,SPO3 ETU covers,0
009201-331-00860,Underguarding Charge conveyor SPO3 connection,0
009201-331-00560,Underguarding Charge conveyor SPO3 connection,0
009201-330-00001,Connection charge conveyor to SPO3 ETU,0
009201-267-00958,Sheet underguarding Poly-V Drive HS,0
009201-267-00558,Sheet underguarding Poly-V Drive HS,0
009201-265-00040,Guardrail U-shape Innercurve H=100mm Ri2000,0
009201-265-00030,Guardrail U-shape Innercurve H=100mm Ri2000,0
009201-263-00040,Assy Under guarding LRC HS,0
009201-263-00030,Assy Under guarding LRC HS,0
009201-260-10620,Assy Safety cover Poly-V drive end,0
009201-260-01020,Assy Safety cover Poly-V drive end,0
009201-260-00620,Assy Safety cover Poly-V drive end,0
009201-252-00040,Weldment Outer Side guarding LRC HS,0
009201-252-00030,Weldment Outer Side guarding LRC HS,0
009201-235-00001,Assy Connection LRJ HS and SPO,0
009201-230-00001,LRJ HS Positioning Bracket to Merge deck,0
009201-229-01020,Assy LRJ HS 20ø Under Guarding,0
009201-229-00620,Assy LRJ HS 20ø Under Guarding,0
009201-149-01020,Weldment crossmember for poly-veyor,0
009201-149-00620,Weldment crossmember for poly-veyor,0
004552-05000,Belt EL0/V10 LG-SE black W=500 endless tol acc elastic,705
009201-149-00520,Weldment crossmember for poly-veyor,0
009201-145-00001,Assy divert shoe select right (on wheel),0
009201-140-00001,Assy Divert shoe select left (on wheel),0
009201-137-00001,Shear screw M4x16,0
009201-135-00001,Assy divert blade 2,0
009201-131-00001,End stop,0
009201-130-00001,Assy divert blade 1,0
009201-129-00001,Sliding block,0
009201-125-00001,Assy motor unit 2,0
009201-120-00001,Assy motor unit 1,0
009201-100-00001,Assy divert switch 20-2 left SPO 3.0 (TDS-tray),0
009201-090-00860,Assy ETU Knife Belt HS,0
009201-090-00560,Assy ETU Knife Belt HS,0
009201-059-00920,Assy tracking roller,0
009201-059-00820,Assy tracking roller,4
009201-059-00620,Assy tracking roller,2
009201-025-01100,Carriers & Chain assy SPO 3.0 L=2286 mm Low noise,0
009201-025-00100,Carriers & Chain assy SPO 3.0 L=2286 mm Low noise,0
009201-005-21111,Assy divert shoe (SPO3.0),0
009000-03216,"Cable sensor M12 male 4p straight / M12 female 4p straight PVC-OB L=5,0m",0
008969-116-00720,Net support single,36
008969-116-00620,Net support single,16
008969-116-00520,Net support single,436
008969-106-01020,Assy Endplate,0
008969-106-00820,Assy Endplate,12
008969-106-00620,Assy Endplate,7
008969-106-00520,Assy Endplate,21
008969-013-01020,Net support double,17
008969-013-00820,Net support double,0
008969-013-00720,Net support double,265
008969-013-00620,Net support double,311
008969-013-00520,Net support double,892
008969-011-00720,Assy LRC 70ø 400V CW,0
008969-010-00002,Assy inductor plates st.st.,7
008969-010-00001,Assy inductor plates st.st.,8
008968-037-02102,Assy perforated underguarding skewed roller,2
008968-037-02062,Assy perforated underguarding skewed roller,6
008968-037-01102,Assy perforated underguarding skewed roller,1
008968-037-01082,Assy perforated underguarding skewed roller,3
008968-037-01072,Assy perforated underguarding skewed roller,2
008968-037-01062,Assy perforated underguarding skewed roller,0
008968-018-00001,Roller mounting bracket left st. st.,0
008968-005-00001,Assy Support Sideguard 100mm,4
008967-012-11121,Assy LR/ARP drive V=,4
008967-012-10171,Assy LR/ARP drive V=171,0
008967-012-01121,Assy LR/ARP drive V=,2
008967-012-00171,Assy LR/ARP drive V=171,0
008967-010-14070,Assy BJ 30deg W=700 V=90-180m/min; with PPI Ammeraal,9
008967-010-13070,Assy BJ 30deg W=700 V=90-180m/min; with PPI,0
008967-010-12070,Assy BJ 30deg W=700 V=90-180,0
008967-010-11070,Assy BJ 30deg W=700 V=60,0
008967-010-02070,Assy BJ 30deg W=700 V=90-180,0
008967-005-01810,Assy Crossmember Heavy for ceiling hanger (2x Bed) A=,46
004420-04002,Belt E8/2 U0/V5H/MT-FR black W=400 endless,0
008967-005-01410,Assy Crossmember Heavy for ceiling hanger (2x Bed) A=,0
008967-004-01310,Assy Crossmember Heavy (2x Bed 520) W=1310,0
008967-003-01225,Assy Crossmember round for ceiling hanger (Bed=1020) A=1225,106
008967-003-01025,Assy Crossmember round for ceiling hanger (Bed=820) A=1025,24
008967-003-00925,Assy Crossmember round for ceiling hanger (Bed=720) A=920,829
008967-003-00825,Assy Crossmember round for ceiling hanger (Bed=620) A=825,1378
008967-003-00725,Assy Crossmember round for ceiling hanger (Bed=520) A=725,3181
007811-008-05508,Assy R4 support metric for junction bed one side,0
007811-008-05506,Assy R4 support metric for junction bed one side,5
007811-008-03705,Assy R4 support metric for junction bed one side,0
007811-005-00760,Weldment reinforced cross member,0
007811-005-00660,Weldment reinforced cross member,14
007811-005-00560,Weldment reinforced cross member,15
007811-005-00460,Weldment reinforced cross member,1
007773-004-00001,Weldment support,121
007397-089-10004,Plate Warning Sign,174
007232-026-00820,Assy LRJ Underguarding 45ø right,2
007232-026-00720,Assy LRJ Underguarding 45ø right,4
007232-025-00820,Assy LRJ Underguarding 45ø left,1
007232-025-00720,Assy LRJ Underguarding 45ø left,3
007232-024-00820,Assy LRJ Underguarding 30ø right,12
007232-024-00720,Assy LRJ Underguarding 30ø right,6
007232-024-00620,Assy LRJ Underguarding 30ø right,2
007232-024-00520,Assy LRJ Underguarding 30ø right,12
007232-023-00820,Assy LRJ Underguarding 30ø left,15
007232-023-00720,Assy LRJ Underguarding 30ø left,0
007232-023-00620,Assy LRJ Underguarding 30ø left,0
007232-023-00520,Assy LRJ Underguarding 30ø left,1
007232-013-00920,Sheet underguarding (drive),2
007232-013-00820,Sheet underguarding (drive),3
007232-013-00620,Sheet underguarding (drive),2
007232-013-00520,Sheet underguarding (drive),45
007232-00242,Loctite 243 (nut locking medium blue) 50ml,0
007202-058-00001,Assy connection Bracket LRJ 20?ø to SPO,0
007011-19100,"Sticker pictogram: ""No admission for unauthorized persons""100mm",0
007011-07102,"Pictogram ""Caution, drawing-in"" 100",174
007011-06100,"Sticker pictogram: ""Caution, moving parts""100mm",76
007011-02101,"Sticker pictogram: ""Caution, crushing of hands"" 100mm",174
007011-00057,Sticker SPO,0
007009-00009,Oil Structovis GHD (5ltr),0
006881-69054,"Cover for R4 profile LxWxH 61,5x40,5x20mm RAL7016",2968
006881-69050,"End cap 60x40x1,5mm GPN270",20
006881-69027,"End cap 30x30x2,0mm GPN260",645
006881-69002,Panel / Tube plug rnd 22.6mm,0
004421-06033,Belt E12/2 U0/V/U0-SE black W=600 prepared FR,31
006881-44215,Cover for footplate R4 support,269
004421-13033,E12/2 U0/V/U0-SE black W=1300 prepared FR,40
006881-44211,Rubber cover for R3+R4 foot base. SBR.75 shore,2423
006881-00157,Cover hood complete for FA87/FV87/KA87/KV87/SA87,59
006881-00156,Cover hood complete for FA37/FV37/KA29/KA37/KV37,13
006881-00155,Cover hood complete for KA77/FA77/SA77,29
006881-00127,Assy Coupling for U-sideguarding H=100mm,5412
006881-00008,cable Guiding pin,288
006003-02905,"Tie-wrap 92x2,4mm natural PA6.6 stainless steel locking barb",0
006002-17014,"Cable male/female 3x2,5mmý L=4000mm PVC white",0
006002-16087,Proximity sensor inductive M12 size M12 male 4p 24Vdc pnp NO,0
006002-16073,Proximity switch inductive M12 size M12 male 4p 24Vdc pnp 1NO,0
006002-16041,Proximity sensor inductive M12 size M12 male 4p 24Vdc pnp 1NO non-flush,0
006002-16028,Proximity sensor inductive M8 male 3p 24Vdc pnp NO PVC pigtail L=500mm,0
006002-14926,ASI to M12 tap off connector VAZ-G6F-V1,0
006002-14892,Photo sensor diffuse frontal M8 male 4p 24Vdc pnp range 5-350mm pigtail L=300mm,0
006002-13682,Cable M12 male 4p./M12 female 4p./H.F./L=5m,0
006002-13670,Cable M12 male 4p./M8 female 4p./H.F./L=2m,0
006002-13637,Cable sensor M12 male 5p straight / M12 female 5p 90ø shielded  L=10m,0
006002-07161,Ground connection clamp 4/25mm?ý,0
005734-520-00250,EM Assembly Ground wire for ESD,0
005408-024-13000,Assy side guarding,52
005408-024-11500,Assy side guarding,6
005408-024-10750,Assy side guarding,6
005407-008-00001,PEC Bracket / Pepperl & Fuchs,0
005407-003-00001,Assy Bracket for PEC,480
005301-01829,"Ethernet CAT5 / M12 male straight - M12 male straight / 4-pole / D-coded / Shielded / 18,0m",0
005301-01827,"Ethernet CAT5 / M12 male straight - M12 male straight / 4-pole / D-coded / Shielded / 14,0m",0
005301-01826,"Ethernet CAT5 / M12 male straight - M12 male straight / 4-pole / D-coded / Shielded / 12,0m",0
005301-01824,"Ethernet CAT5 / M12 male straight - M12 male straight / 4-pole / D-coded / Shielded / 9,0m",0
005301-01823,"Ethernet CAT5 / M12 male straight - M12 male straight / 4-pole / D-coded / Shielded / 8,0m",0
005301-01822,"Ethernet CAT5 / M12 male straight - M12 male straight / 4-pole / D-coded / Shielded / 7,0m",0
005301-01713,"Cable ethernet CAT5 UL M12 male straight / M12 male straight 4p D-coded shielded L=4,0m",0
005301-00557,Connector M12 male 4p 180ø cable outlet for ET200 pro and scalance X208,0
004420-05001,Belt E8/2 U0/V5H/MT-FR black W=500 prepared,0
004424-08001,Belt E8/2 U0/V15/LG-FR black W=800 prepared,0
004421-04033,E12/2 U0/V/U0-SE black W=400 prepared FR,0
004420-05002,Belt E8/2 U0/V5H/MT-FR black W=500 endless,0
005301-00303,"Cable extension male/female 9p L=2,7m",0
005301-00302,"Cable extension male/female 9p L=1,2m",0
004901-00295,Bearing slide flange J3FM 6x8x6mm flange=?12mm,0
004889-26003,Timing belt RPP8 DD-30 L=2600,0
004888-10100,V-Belt PowerTwist roller drive B/17,0
004886-88030,Timing belt RPP8-30 L=880,0
004885-92030,Timing belt RPP-8M-30 L=920mm,0
004885-80030,Timing belt RPP-8M-30 L=800mm,0
004885-56030,Timing belt RPP-SLV8-30 L=560,0
004885-11904,Timing belt RPP14-40 L=1190,0
004884-13445,Timing belt RPP-SLV14-40 L=1344,0
004884-11904,Timing belt RPP-SLV14-40 L=1190,0
004858-44130,"Pulley TB KW 44-8M-30/1F bore 30H7, 2 tappedholes 120ø",0
004858-36230,"Pulley TB KW 36-8M-30/1F bore 30H7, 2 tappedholes 120ø",0
004858-36125,"Pulley TB KW 36-8M-30/1F bore 25H7, 2 tappedholes 120ø",0
004858-30130,"Pulley TB KW 30-8M-30/1F bore 30H7, 2 tappedholes 120ø",0
004421-08033,E12/2 U0/V/U0-SE black W=800 prepared FR,15
004858-26125,"Pulley TB KW 26-8M-30/1F bore 25H7, 2 tappedholes 120ø",0
004858-24130,"Pulley TB KW 24-8M-30/1F bore 30H7, 2 tappedholes 120ø",0
004858-24120,"Pulley TB KW 24-8M-30/1F bore 20H7, 2 tappedholes 120ø",0
004858-22130,"Pulley TB KW 22-8M-30/1F bore 30H7, 2 tappedholes 120ø",0
004858-22125,"Pulley TB KW 22-8M-30/1F bore 25H7, 2 tappedholes 120ø",0
004857-56030,Pulley TB TL 56-8M-30/2F,0
004857-44040,Pulley TB TL 44-14M-40/3F,0
004857-40040,Pulley TB TL 40-14M-40/3F,0
004857-34030,Pulley TB TL 34-8M-30/1F,0
004857-32040,Pulley TB TL 32-14M-40/3F,0
004857-30030,Pulley TB TL 30-8M-30/1F,0
004857-28030,Pulley TB TL 28-8M-30/2F,0
004857-26030,Pulley TB TL 26-8M-30/2F,0
004857-24030,Pulley TB TL 24-8M-30/2F,0
004856-34040,Pulley TB TL 34-14M-40/3F,0
004853-36140,Pulley TB TL 36-14M-40/3F,0
004853-30140,Pulley TB TL 30-14M-40/3F,0
004840-16156,Ring retaining TLock 1615-25,0
004833-045-62998,Assy Hinged Side Guarding with L-shape Handle / PEC Right,0
004833-045-61498,Assy Hinged Side Guarding with L-shape Handle / PEC Right,0
004833-045-61448,Assy Hinged Side Guarding with L-shape Handle / PEC Right,0
004833-045-61348,Assy Hinged Side Guarding with L-shape Handle / PEC Right,0
004833-045-61048,Assy Hinged Side Guarding with L-shape Handle / PEC Right,0
004833-045-60898,Assy Hinged Side Guarding with L-shape Handle / PEC Right,0
004833-044-62998,Assy Hinged Side Guarding with L-shape Handle / PEC Left,0
004833-044-61498,Assy Hinged Side Guarding with L-shape Handle / PEC Left,0
004433-51033,Belt E12/2 V5/V10 + K10 U65 W=100 prepared 110mm Z-splice/118mm profile removed on weld,50
004833-044-61048,Assy Hinged Side Guarding with L-shape Handle / PEC Left,0
004424-04001,Belt E8/2 U0/V15/LG-FR black W=400 prepared,109
004833-044-60898,Assy Hinged Side Guarding with L-shape Handle / PEC Left,0
004833-044-60648,Assy Hinged Side Guarding with L-shape Handle / PEC Left,0
004821-03109,"Roller chain connection link simplex ISO 606 (DIN8187)-16B-1 (1"") reduced height of roller chain link ?19",0
004821-03108,Roller chain connection plate simplex ISO 606 (DIN8187)-16B-1,0
004458-04050,Belt GG 10P-20 NSTR/FSTR W=10 L=4050mm endless,0
004451-40610,Poly-V belt 4PJ L=610mm,0
004451-00311,Poly-V belt 3PJ L=286mm elastic,0
004451-00308,Poly-V belt 3PJ L=256mm elastic,0
004420-05051,Belt E8/2 U0/V5H/MT-SE black W=400 prepared,0
004451-00303,Poly-V belt 2PJ L=314mm elastic,0
004447-07031,Belt E12/2 U0/U0 transparant FDA W=700 prepared,0
004447-04031,Belt E12/2 U0/U0 transparant FDA W=400 prepared,0
004424-09011,Belt E8/2 U0/V15/LG black W=900 endless,0
004424-09002,Belt E8/2 U0/V15/LG-FR black W=900 endless,0
004424-07002,Belt E8/2 U0/V15/LG-FR black W=700 endless,0
004424-06001,Belt E8/2 U0/V15/LG-FR black W=600 prepared,0
004424-05012,Belt E8/2 U0/V15/LG-SE black W=500 endless,0
004424-05002,Belt E8/2 U0/V15/LG-FR black W=500 endless,0
004424-04012,Belt E8/2 U0/V15/LG-SE black W=400 endless,0
004424-04002,Belt E8/2 U0/V15/LG-FR black W=400 endless,0
004420-09001,Belt E8/2 U0/V5H/MT-FR black W=900 prepared,0
004420-05031,Belt E8/2 U0/V5H MT black W=500 prepared,0
004420-04031,Belt E8/2 U0/V5H MT black W=400 prepared,0
004302-00203,"Tubing Dxt = 8x1,25mm silver grey",176
004158-037-00720,Assy slide strip,0
003850-056-03000,Assy Side Guarding BF Without Photocell Special H=600,6
003850-035-03000,Assy Side Guarding BF Without Photocell H=600,608
003850-035-02950,Assy Side Guarding BF Without Photocell H=600,0
003850-035-02900,Assy Side Guarding BF Without Photocell H=600,0
004420-04001,Belt E8/2 U0/V5H/MT-FR black W=400 prepared,119
003850-035-02850,Assy Side Guarding BF Without Photocell H=600,1
003850-035-02800,Assy Side Guarding BF Without Photocell H=600,0
003850-035-02750,Assy Side Guarding BF Without Photocell H=600,1
003850-035-02700,Assy Side Guarding BF Without Photocell H=600,0
003850-035-02650,Assy Side Guarding BF Without Photocell H=600,1
003850-035-02600,Assy Side Guarding BF Without Photocell H=600,1
003850-035-02550,Assy Side Guarding BF Without Photocell H=600,0
003850-035-02500,Assy Side Guarding BF Without Photocell H=600,1
003850-035-02450,Assy Side Guarding BF Without Photocell H=600,0
003850-035-02400,Assy Side Guarding BF Without Photocell H=600,0
003850-035-02350,Assy Side Guarding BF Without Photocell H=600,0
003850-035-02300,Assy Side Guarding BF Without Photocell H=600,8
003850-035-02250,Assy Side Guarding BF Without Photocell H=600,1
003850-035-02200,Assy Side Guarding BF Without Photocell H=600,0
003850-035-02150,Assy Side Guarding BF Without Photocell H=600,0
003850-035-02100,Assy Side Guarding BF Without Photocell H=600,0
003850-035-02050,Assy Side Guarding BF Without Photocell H=600,0
003850-035-02000,Assy Side Guarding BF Without Photocell H=600,0
003850-035-01950,Assy Side Guarding BF Without Photocell H=600,0
003850-035-01900,Assy Side Guarding BF Without Photocell H=600,3
003850-035-01850,Assy Side Guarding BF Without Photocell H=600,0
003850-035-01800,Assy Side Guarding BF Without Photocell H=600,2
003850-035-01750,Assy Side Guarding BF Without Photocell H=600,0
003850-035-01700,Assy Side Guarding BF Without Photocell H=600,1
003850-035-01650,Assy Side Guarding BF Without Photocell H=600,3
003850-035-01600,Assy Side Guarding BF Without Photocell H=600,5
004420-10001,Belt E8/2 U0/V5H/MT-FR black W=1000 prepared,0
003850-035-01550,Assy Side Guarding BF Without Photocell H=600,2
003850-035-01500,Assy Side Guarding BF Without Photocell H=600,414
003850-035-01450,Assy Side Guarding BF Without Photocell H=600,6
003850-035-01400,Assy Side Guarding BF Without Photocell H=600,16
003850-035-01350,Assy Side Guarding BF Without Photocell H=600,52
003850-035-01300,Assy Side Guarding BF Without Photocell H=600,10
003850-035-01250,Assy Side Guarding BF Without Photocell H=600,16
003850-035-01200,Assy Side Guarding BF Without Photocell H=600,16
003850-035-01150,Assy Side Guarding BF Without Photocell H=600,4
003850-035-01100,Assy Side Guarding BF Without Photocell H=600,8
003850-035-01050,Assy Side Guarding BF Without Photocell H=600,10
003850-035-01000,Assy Side Guarding BF Without Photocell H=600,24
003850-035-00950,Assy Side Guarding BF Without Photocell H=600,15
003850-035-00900,Assy Side Guarding BF Without Photocell H=600,24
003850-035-00850,Assy Side Guarding BF Without Photocell H=600,15
003850-035-00800,Assy Side Guarding BF Without Photocell H=600,14
003850-035-00750,Assy Side Guarding BF Without Photocell H=600,12
003850-035-00700,Assy Side Guarding BF Without Photocell H=600,17
003850-035-00650,Assy Side Guarding BF Without Photocell H=600,32
003850-035-00600,Assy Side Guarding BF Without Photocell H=600,15
003850-035-00550,Assy Side Guarding BF Without Photocell H=600,23
003850-035-00500,Assy Side Guarding BF Without Photocell H=600,18
003850-035-00450,Assy Side Guarding BF Without Photocell H=600,65
003850-035-00415,Assy Side Guarding BF Without Photocell H=600,0
003850-035-00400,Assy Side Guarding BF Without Photocell H=600,14
003850-035-00360,Assy Side Guarding BF Without Photocell H=600,6
003686-015-03000,ASSY SIDE GUARDING HEAVY BF H=600,0
003686-015-01500,ASSY SIDE GUARDING HEAVY BF H=600,0
003281-472-00300,Power feeder change over,206
003281-472-00100,Power feeder change over,188
002770-99010,Washer M10 flat without chamfer ISO7089/DIN125A Steel ZP,1834
002766-00010,Washer contact toothed M10 grounding flZn/nc/L/600H ISO10683,96
002766-00008,Washer contact toothed M8 grounding flZn/nc/L/600H ISO10683,0
002766-00006,Washer contact toothed M6 grounding flZn/nc/L/600H ISO10683,0
002764-00008,Washer lock spring M8 DIN127B Steel ZP,0
002763-20010,Washer M10 ISO7089/DIN125A St 200HV flZn/nc/L/600H ISO10683,20
002763-20008,Washer M8 ISO7089/DIN125A St 200HV flZn/nc/L/600H ISO10683,12524
002763-00695,Washer wide mudwing repair M10 Steel ZP,200
002763-00590,Washer wide M8 ISO7093 Steel ZP,104
002763-00512,Washer lock M12 DIN6798J steel ZP,0
002763-00413,Nord-lock ring M6 steel flZn/nc/L/480H ISO10683,0
002763-00306,Washer M6 flat without chamfer ISO7089/DIN125A Steel ZP,0
002763-00212,Washer high wide M12 ISO7094 St 100HV flZn/nc/L/600H ISO10683,20
002763-00112,Washer high wide M12 ISO7094 Steel ZP,456
002763-00110,Washer high wide M10 ISO7094 Steel ZP,7610
002763-00106,Washer high wide M6 ISO7094 Steel ZP,1746
002763-00016,Washer M16 flat without chamfer ISO7089/DIN125A Steel ZP,92
002763-00012,Washer contact toothed M12 grounding ZP,48
002763-00010,Washer contact toothed M10 grounding ZP,12974
002763-00008,Washer contact toothed M8 grounding ZP,0
004421-05033,Belt E12/2 U0/V/U0-SE black W=500 prepared FR,0
002763-00006,Washer contact toothed M6 grounding ZP,87753
002763-00004,Washer M4 flat without chamfer ISO7089/DIN125A Steel ZP,0
002760-00008,Washer UNP M8 DIN434 Steel HDG,22488
002747-00106,"Blind rivet nut hex M8 range 0,5-3,0mm ISO4042-Fe/Zn-240Hr",0
002747-00008,"Blind rivet nut rnd M8 range 3,0-5,5mm ISO4042-Fe/Zn-240Hr",0
004424-05001,Belt E8/2 U0/V15/LG-FR black W=500 prepared,0
002747-00006,"Blind rivet nut rnd M8 range 0,5-3,0mm ISO4042-Fe/Zn-240Hr",0
002723-80416,Screw CR cheese head 4x16 steel DIN267 ZP,2738
002723-48025,Bolt self-drilling hexagon head with collar ST4.8x25 DIN7504-K Steel ZP,0
002723-40621,Bolt HH FT Tapt M6x20 DIN7500 CL10.9 flZn/nc/L/480H ISO10683,0
002723-20038,"Screw CR pan head plate ST 6,3x32 ISO7049 C-H Steel ZP",0
002522-110-00001,Connection bracket Right,130
002522-109-00001,Connection bracket Left,130
002439-06012,Screw HS button head with flange FT M6x12 ISO7380-2 stainless steel (A2),696
002437-10020,Screw HS button head FT M10x20 ISO7380 CL 10.9 DIN267 ZP,9922
002420-08050,Screw HS FT M8x50 ~ISO4762/DIN912 CL 8.8 DIN267 ZP,0
002419-10120,Screw HS M10x120 ISO4762/DIN912 CL 8.8 DIN267 ZP,20
002419-10030,Screw HS FT M10x30 ISO4762/DIN912 CL 8.8 DIN267 ZP,1000
002419-10025,Screw HS FT M10x25 ISO4762/DIN912 CL 8.8 DIN267 ZP,500
002419-08025,Screw HS FT M8x25 ISO4762/DIN912 CL 8.8 DIN267 ZP,0
002419-08020,Screw HS FT M8x20 ISO4762/DIN912 CL 8.8 DIN267 ZP,104
002419-08016,Screw HS FT M8x16 ISO4762/DIN912 CL 8.8 DIN267 ZP,0
002419-06025,Screw HS FT M6x25 ISO4762/DIN912 CL 8.8 DIN267 ZP,1746
002419-06020,Screw HS FT M6x20 ISO4762/DIN912 CL 8.8 DIN267 ZP,48326
002419-06016,Screw HS FT M6x16 ISO4762/DIN912 CL 8.8 DIN267 ZP,0
002419-04016,Screw HS FT M4x16 ISO4762/DIN912 CL 8.8 DIN267 ZP,0
002418-10100,Screw HS FT M10x100 ~ISO4762 CL8.8 flZn/nc/L/600H ISO10683,0
002418-10025,Screw HS FT M10x25 ISO4762 CL8.8 flZn/nc/L/600H ISO10683,0
004552-06000,Belt EL0/V10 LG-SE black W=600 endless tol acc elastic,165
002418-06020,Screw HS FT M6x20 ISO4762 CL8.8 flZn/nc/L/480H ISO10683,0
002418-06016,Screw HS FT M6x16 ISO4762 CL8.8 flZn/nc/L/480H ISO10683,0
002416-08020,Screw HS CS M8x20 ISO10642 CL10.9 flZn/nc/L/480H ISO10683,0
002416-06030,Screw HS CS M6x30 ISO10642 CL10.9 flZn/nc/L/480H ISO10683,0
002413-08020,Screw HS FT Tapt. M8x20,34948
002412-01050,Screw HS countersunk M10x50 ISO10642/DIN7991 CL 8.8 DIN267 ZP,21
002412-01030,Screw HS countersunk FT M10x30 ISO10642/DIN7991 CL 8.8 DIN267 ZP,230
004552-04000,Belt EL0/V10 LG-SE black W=400 endless tol acc elastic,699
002412-01025,Screw HS countersunk FT M10x25 ISO10642/DIN7991 CL 8.8 DIN267 ZP,68
002412-00820,Screw HS countersunk FT M8x20 ISO10642/DIN7991 CL 8.8 DIN267 ZP,0
002412-00815,Screw HS countersunk FT M8x16 ISO10642/DIN7991 CL 8.8 DIN267 ZP,4510
002373-00102,Clamp standard type A 10 S HDG,20
002372-50008,Sliding block V8 steel M8 DIN267 ZP,484
002372-45212,Single clamp nut M10 for R3/R4 flZn,0
002372-00510,Nut Halfen 50/40 M10 CL 4 Steel DIN267 ZP,10131
002372-00508,Nut Halfen 38/17 M8 CL 4 Steel DIN267 ZP,102
002372-00507,Nut Halfen 38/17 M6 CL 4 Steel DIN267 ZP,38921
002372-00506,Nut Halfen 50/40 M6 CL 4 Steel DIN267 ZP,1746
002372-00301,"Nut clip Viba 12499-ST6,3 Ck 67 DIN17222",0
002371-57210,Nut hex lock Nyloc M10 DIN985 CL8 flZn/nc/L/480H ISO10683,0
002371-56208,Nut hex lock Nyloc M8 ISO10511 CL5 flZn/nc/L/480H ISO10683,0
002371-56206,Nut hex lock Nyloc M6 ISO10511 CL5 flZn/nc/L/480H ISO10683,0
002371-56010,Nut hex lock Nyloc M10 ISO10511/DIN985 CL 5 DIN267 ZP,0
002371-56005,Nut hex lock Nyloc M5 ISO10511/DIN985 CL 5 DIN267 ZP,0
002371-56004,Nut hex lock Nyloc M4 ISO10511/DIN985 CL 5 DIN267 ZP,0
002370-89210,Nut hex M10 DIN934 CL8 flZn/nc/L/600H ISO10683,48
002370-89206,Nut hex M6 ISO4032/DIN934 CL8 flZn/nc/L/480H ISO10683,0
002370-88412,"Nut hex low M12x1,25 ISO8675/DIN439-B CL 4 DIN267 ZP",0
002370-88020,Nut hex M20 DIN934 CL 8 DIN267 ZP,0
002370-88016,Nut hex M16 DIN934 CL 8 DIN267 ZP,92
002370-88010,Nut hex M10 DIN934 CL 8 DIN267 ZP,6612
002370-88008,Nut hex M8 DIN934 CL 8 DIN267 ZP,102
002370-88006,Nut hex M6 DIN934 CL 8 DIN267 ZP,25906
002322-08021,Bolt FL HH FT R M8x20 DIN6921 CL8.8 flZn/nc/L/480H ISO10683,786
002322-08020,Bolt flange HH FT M8x20 ~DIN6921 KL100 ISO10683 flZnnc,0
002322-06021,Bolt FL HH FT M6x20 DIN6921 CL8.8 flZn/nc/L/480H ISO10683,2032
002322-06020,Bolt flange HH FT M6x20 DIN6921 CL 8.8 DIN267 ZP,988
002317-20825,Screw HS FT M8x25 ISO4762/DIN912 CL 12.9 flZn/nc ISO10683,0
002315-21207,Anchor fixing W-FAZ/S M12-30/125 CL 8.8 ZP,456
002315-01408,Anchor expansion non cracked concrete M10x83 ñ 2 clamp reach >=10mm,5912
002314-60660,Carabine hook 6x60mm ZP,0
002314-50550,Carabine hook 5x50mm ZP,0
002314-50108,Turnbuckle M8 galvanised,0
002314-50004,Cable clamp 1/4 DIN741,0
002314-00900,lifting tool for SCS crossorter,0
002314-00860,Screw Eye FT M8x60 Steel ZP,0
002313-10080,Bolt HH wood M10x80 DIN571 CL 4.6 DIN267 ZP,48
002313-10050,Bolt HH wood M10x50 DIN571 CL 4.6 DIN267 ZP,0
002313-10040,Bolt HH wood M10x40 DIN571 CL 4.6 DIN267 ZP,1456
002313-10030,Bolt HH wood M10x30 DIN571 CL 4.6 DIN267 ZP,0
002311-12030,Bolt HH FT M12x30 DIN933 CL 8.8 DIN267 ZP,48
002311-10180,Bolt HH FT M10x180 DIN933 CL 8.8 DIN267 ZP,256
002311-10050,Bolt HH FT M10x50 DIN933 CL 8.8 DIN267 ZP,190
002311-10035,"Bolt HH FT M10x35,DIN933 CL 8.8 DIN267 ZP",0
004444-03400,Belt E15/2 U0/V5 + F19x8 U65 green W=33 prepared,448
002311-10030,Bolt HH FT M10x30 DIN933 CL 8.8 DIN267 ZP,0
002311-10025,Bolt HH FT M10x25 DIN933 CL 8.8 DIN267 ZP,80
002311-10020,Bolt HH FT M10x20 DIN933 CL 8.8 DIN267 ZP,0
002311-08020,Bolt HH FT M8x20 ISO4017/DIN933 CL 8.8 DIN267 ZP,484
002311-08015,Bolt HH FT M8x16 ISO4017/DIN933 CL 8.8 DIN267 ZP,0
002311-06100,Bolt HH FT M6x100 ISO4017/DIN933 CL 8.8 DIN267 ZP,14736
002311-06015,Bolt HH FT M6x16 ISO4017/DIN933 CL 8.8 DIN267 ZP,25906
002300-10120,Bolt HH FT M10x120 DIN933 CL8.8 flZn/nc/L/600H ISO10683,20
002300-10030,Bolt HH FT M10x30 DIN933 CL8.8 flZn/nc/L/600H ISO10683,0
002300-10020,Bolt HH FT M10x20 DIN933 CL8.8 flZn/nc/L/600H ISO10683,48
002300-08020,Bolt HH FT M8x20 ISO4017/DIN933 CL8.8 flZn/nc/L/480H ISO10683,0
